Ingresso;Paí;Cidade;ID;Nome;Assessor;Carteira
Jul-16-2021;Peru;Huaquirca;032578294-6;Tomasina Sandbatch;Roberta;5,001.00
May-30-2021;Portugal;Aveiras de Cima;033235359-1;Herbie Segeswoeth;Roberta;3,475.00
May-30-2021;Brazil;Planaltina;033705430-4;Allina Burnhill;Roberta;16,157.00
May-30-2021;Egypt;Fārask�;033957746-0;Audy Bartolomeoni;Roberta;16,278.00
May-30-2021;Portugal;Poiares;034405853-0;Lyndsie Laurentino;Roberta;14,103.00
May-30-2021;Brazil;;035127807-9;Natalee Lortzing;Roberta;12,128.00
May-30-2021;Brazil;Santos Dumont;035557918-9;Cello Chadbourne;Roberta;18,046.00
May-30-2021;Chile;Villa Presidente Frei, Ñuñoa, Santiago, Chi;035581959-7;Mavis Hek;Roberta;10,200.00
May-30-2021;United States;Cincinnati;035975562-3;Sarine Haville;Roberta;12,229.00
Feb-11-2022;Brazil;Novo Hamburgo;036230151-4;Marcy Goatman;Marcos;8,649.00
May-30-2021;Brazil;Rio de Janeiro;036335652-5;Clemente Gilders;Marcos;12,885.00
May-26-2023;Indonesia;Kalahang;036695298-6;Jere Rignold;Marcos;4,445.00
May-30-2021;Russia;Zamoskvorech’;037611012-0;Ninette Kubek;Marcos;12,298.00
May-30-2021;Canada;Wingham;037849788-1;Marigold Letterese;Marcos;17,510.00
Mar-2-2022;Portugal;Santa Catarina;037992051-4;Orran Hentzeler;Marcos;1,781.00
Oct-11-2022;Argentina;Vicuña Mackenn;038498504-1;Melosa Evers;Marcos;2,759.00
May-30-2021;Colombia;Cali;038645610-0;Brigit Royste;Marcos;9,380.00
May-30-2021;Mexico;La Concepcion;040037398-1;Hadrian Pinches;Marcos;15,211.00
May-30-2021;Serbia;Bečme;040461333-0;Gan Furze;Marcos;7,238.00
May-30-2021;Colombia;El Espino;041136525-8;Ammamaria Webley;Marcos;13,359.00
May-30-2021;Honduras;Marcovia;041269555-3;Jeth Sambell;Marcos;9,696.00
May-30-2021;Peru;Obas;041308879-0;Sibylle Ventris;Marcos;8,275.00
May-30-2021;Portugal;Celorico de Basto;041418069-0;Kaylyn Sobey;Marcos;18,675.00
Mar-20-2023;Brazil;Rio Branco do Sul;042011478-5;Gustie Mation;Marcos;1,273.00
Jan-5-2023;Myanmar;Paungde;042103208-1;Deeyn Kampshell;Jaqueline;6,103.00
Dec-22-2022;United States;Honolulu;043953375-9;Ted Chmarny;Jaqueline;7,903.00
May-30-2021;Indonesia;Sendangagung;045860534-4;Carley Summerskill;Jaqueline;13,455.00
Apr-5-2022;Greece;Kallithé;046318749-0;Bobette Grimditch;Jaqueline;4,299.00
Mar-8-2023;United States;Little Rock;047057290-6;Davita Winfred;Jaqueline;1,662.00
May-30-2021;United States;Charleston;047942957-1;Idaline Nottle;Jaqueline;3,131.00
May-30-2021;Greece;Kinét;048177257-1;Burnaby McNern;Jaqueline;729.00,
May-21-2023;Brazil;Rio;048382520-4;Wayne Giacovazzo;Jaqueline;574.00,
Jan-3-2022;Brazil;Tabatinga;048593653-4;Aguste Wicklin;Jaqueline;4,195.00
Dec-19-2022;Portugal;Limeiras;048777118-4;Devonne Pennycock;Jaqueline;6,098.00
Oct-15-2022;Panama;Paraís;049998404-8;Rowen Lamburn;Jaqueline;11,722.00
May-30-2021;Israel;Tiberias;050319989-3;Benedikta Autin;Jaqueline;12,851.00
May-30-2021;Brazil;Garç;051652670-7;Shepherd Reddlesden;Jaqueline;12,965.00
Aug-5-2021;Indonesia;Tempel;053318732-1;Barnard Dumberrill;Jaqueline;3,263.00
May-30-2021;Brazil;Igarapé A�;053997647-4;Dorri Marzelo;Jaqueline;19,039.00
Jun-8-2021;Brazil;SP;054294274-7;Spenser Tredger;Jaqueline;2,522.00
Sep-20-2021;Croatia;Labin;054320538-1;Finn Doel;Jaqueline;2,448.00
May-30-2021;United States;;054400332-2;Jeffie Killimister;Jaqueline;9,455.00
Mar-17-2023;United States;South Bend;055029439-2;Frieda Widdup;Jaqueline;4,190.00
Mar-13-2022;Brazil;Paranagu�;056790265-1;Vasili Martland;Jaqueline;7,475.00
May-30-2021;Portugal;Linhares;056969796-4;Jazmin Poncet;Jaqueline;13,733.00
May-30-2021;Philippines;Manat;057181274-0;Bronson Barrasse;Jaqueline;3,174.00
May-11-2022;Portugal;Várze;057484933-5;Hayden Feeham;Jaqueline;9,024.00
May-30-2021;Chile;Mulché;057665792-1;Adolpho Gorick;Jaqueline;13,097.00
May-30-2021;Argentina;Mina Clavero;057755278-3;Brenna Cristofano;Jaqueline;16,294.00
Dec-20-2022;United States;New York City;057902660-4;Jennie Bromby;Jaqueline;4,660.00
May-30-2021;Portugal;Ribeira;058797760-4;Rutter Reubbens;Jaqueline;18,021.00
Jan-18-2023;Portugal;Laveiras;058875276-2;Robin Loyd;Manoel;10,466.00
Aug-1-2022;Portugal;Monte do Outeiro;059352649-1;Leanor Chark;Manoel;6,552.00
May-30-2021;Brazil;SP;059831650-7;Patrice Klageman;Manoel;12,318.00
May-30-2021;Portugal;Carvoeira;060217840-1;Vanya Thomann;Manoel;14,794.00
May-30-2021;Brazil;São Marco;061345720-1;Isacco Byforth;Manoel;19,860.00
May-30-2021;Portugal;Quarteira;061595884-2;Benedikta Orbon;Manoel;6,510.00
Jul-7-2022;Czech Republic;Pražm;061676102-3;Teri Danielian;Manoel;2,345.00
Apr-12-2022;United States;Richmond;062340213-0;Kendrick Munnion;Manoel;4,856.00
May-30-2021;Russia;Dubovka;063667090-2;Katlin Klein;Manoel;16,034.00
Mar-10-2023;Portugal;São Pedr;064684423-7;Pat Coppen;Manoel;10,148.00
Nov-21-2022;United States;Orange;064973592-7;Pascale Dudbridge;Manoel;6,502.00
May-30-2021;Brazil;Freguesia do Ribeirao da Ilha;065002840-6;Steve Royans;Patrick;16,423.00
May-30-2021;Brazil;Ourinhos;065270268-6;Patsy Goggin;Patrick;2,234.00
May-30-2021;Indonesia;Jepuro;065389432-5;Nancee People;Patrick;14,172.00
Jun-7-2022;Colombia;Pensilvania;067195553-5;Arney Burgise;Patrick;3,077.00
May-30-2021;Indonesia;Jambesari;068466572-7;Diannne Volleth;Patrick;2,103.00
May-30-2021;United States;Houston;069417065-8;Evita Beck;Patrick;5,439.00
May-30-2021;Philippines;Isulan;069788444-9;Cleon Billo;Patrick;12,903.00
May-30-2021;Portugal;Castro Daire;070264514-1;Brenna Kilcullen;Patrick;16,375.00
May-30-2021;Indonesia;Gemblengmulyo;070683128-4;Muffin Cuppleditch;Patrick;17,510.00
May-30-2021;Brazil;Arcos;070985297-5;Gabriele Pittford;Patrick;13,171.00
Feb-24-2022;Argentina;;071349261-9;Perry Vittle;Patrick;10,259.00
May-30-2021;Portugal;Venda;071590114-1;Burt Cowper;Patrick;13,936.00
Apr-26-2022;Argentina;El Aguilar;071851462-9;Bartlett Comelini;Patrick;11,321.00
Feb-11-2022;French Guiana;Cayenne;071920486-0;Jania Petriello;Patrick;6,288.00
May-30-2021;Ukraine;Chapayevka;072443632-4;Brody Lemmon;Patrick;16,499.00
Mar-19-2023;Brazil;São Paul;072604441-5;Aurilia Bakewell;Patrick;9,837.00
May-30-2021;Brazil;Conceição do Jacu�;072682691-1;Vidovik Johansen;Patrick;13,396.00
May-30-2021;Portugal;Lameiras;072821891-7;Ody Eddy;Patrick;16,007.00
May-30-2021;Colombia;Pedraza;073653728-7;Kenn Leatt;Rosalina;16,125.00
Jun-2-2021;Brazil;Itaberaba;073935182-6;Zedekiah Japp;Rosalina;8,275.00
Sep-12-2022;Brazil;São Paul;074266956-4;Grethel Waud;Rosalina;5,934.00
May-30-2021;Brazil;Muzambinho;074573969-5;Geordie Goodlad;Rosalina;18,537.00
Jun-3-2022;Portugal;Vilar do Pinheiro;074889936-7;Zuzana Elmer;Rosalina;11,815.00
Mar-29-2023;Brazil;Glória do Goit;075902896-6;Wilton Le Lievre;Rosalina;8,352.00
Dec-25-2022;Colombia;Aguachica;075969323-4;Derick Rodson;Rosalina;577.00,
May-30-2021;Portugal;Valejas;076514165-5;Lula Tossell;Rosalina;582.00,
May-30-2021;Brazil;Santa Maria da Vitóri;076672236-8;Cheston Laffin;Rosalina;19,033.00
Jan-1-2022;Russia;Ketovo;078012383-2;Danica Maidens;Rosalina;2,882.00
Nov-17-2021;Portugal;Mosteiros;078322192-4;Ferris Racher;Rosalina;712.00,
May-30-2021;Argentina;Casilda;078488155-3;Elmore Graeber;Rosalina;12,722.00
May-30-2021;United States;Chicago;078758132-1;Minda Yarnold;Rosalina;528.00,
Jul-28-2022;Brazil;Guarapari;080329266-1;Ave Haycroft;Rosalina;3,844.00
May-30-2021;Argentina;Campana;080476739-4;Muriel Gladden;Rosalina;13,905.00
May-30-2021;Brazil;RJ;080551509-7;Margeaux Baverstock;Rosalina;17,515.00
Jul-9-2021;Germany;Wiesbaden;080603656-7;Dionisio Bartocci;Rebeca;10,692.00
Aug-16-2021;Brazil;Porto Seguro;081859733-1;Lynnett McKague;Rebeca;10,737.00
May-30-2021;Portugal;Vale Maceiras;082352252-0;Berta Eede;Rebeca;19,086.00
Jun-8-2021;United States;Saint Petersburg;083400495-1;Corena Speechly;Rebeca;8,608.00
May-30-2021;Argentina;Valle Grande;083630224-9;Kevyn Monks;Rebeca;18,961.00
Jan-24-2023;Brazil;Iguape;083701621-5;Marsha Culleford;Rebeca;8,105.00
May-30-2021;Colombia;Dos Quebradas;084868521-0;Alain Cracie;Rebeca;12,106.00
Jan-27-2022;South Africa;Garies;085340448-8;Zola Jarley;Rebeca;11,980.00
May-30-2021;Brazil;Rio de Janeiro;086206519-4;Gayleen Dunlea;Rebeca;12,023.00
May-30-2021;Brazil;Boracéi;086326577-4;Dolores O'Nowlan;Rebeca;7,482.00
May-30-2021;Brazil;Piritiba;086967207-1;Lemmie Chevin;Rebeca;12,758.00
May-30-2021;United States;Seattle;087484197-6;Ezequiel Brilon;Rebeca;17,739.00
Aug-4-2022;Indonesia;Sumberkertokrajan;088134200-9;Verna McGreal;Rebeca;2,402.00
Apr-11-2022;Brazil;Montenegro;088483586-3;Julina Scates;Rebeca;969.00,
Mar-30-2022;Greece;Rizómilo;088620148-9;Hali Eye;Rebeca;11,154.00
Oct-4-2022;Serbia;Zemun;088959044-3;Tracy Mardlin;Rebeca;8,640.00
May-30-2021;Sri Lanka;Welisara;089587411-3;Jodie Jantel;Rebeca;784.00,
May-30-2021;Brazil;Maríli;090377878-5;Gary Petracco;Mateus;5,994.00
May-16-2022;Czech Republic;Lubenec;090950736-8;Tore Mouget;Mateus;1,698.00
Mar-25-2022;Canada;Cache Creek;091240219-9;Culver Shilleto;Mateus;3,839.00
May-30-2021;Brazil;São Paul;093205832-9;Brigg Kornel;Mateus;16,383.00
Mar-23-2022;Argentina;Las Junturas;093536491-9;Reta McSweeney;Mateus;9,869.00
Feb-7-2023;Portugal;Ponte da Pedra;093831633-8;Artemas Macy;Mateus;7,480.00
Sep-20-2022;Brazil;Guarapari;093885283-3;Gar Kachel;Mateus;3,112.00
Aug-10-2022;Brazil;Curitiba;094131275-5;Neilla Athow;Mateus;9,976.00
May-30-2021;Brazil;Rio de Janeiro;094525545-4;Darren Guidera;Mateus;17,208.00
May-30-2021;Brazil;Salgueiro;094699365-3;Auguste Fordham;Mateus;7,644.00
May-30-2021;Colombia;Bello;094956114-2;Randell Ilsley;Mateus;18,424.00
Dec-22-2022;Brazil;Itaja�;095337152-2;Fifine Boater;Mateus;11,304.00
Apr-3-2023;Kyrgyzstan;Toktogul;096913409-6;Loretta Spinnace;Mateus;10,225.00
Jan-20-2023;Brazil;Pimenta Bueno;098003818-9;Suzanna Domek;Mateus;926.00,
Feb-24-2023;United States;Phoenix;098085694-9;Tabbie Angrick;Mateus;5,699.00
May-30-2021;Brazil;Santa Bárbara d'Oest;099011949-1;Nessy Jekyll;Mateus;19,070.00
May-9-2022;Comoros;Koua;099428874-3;Levi Cullington;Mateus;9,051.00
May-30-2021;Argentina;Villa Santa Rita;099477688-8;Rubie Boston;Mateus;18,420.00
Jun-27-2021;Czech Republic;Louka;100452751-9;Amabelle Master;Mateus;10,146.00
Nov-26-2021;Portugal;Atouguia;100821248-2;Mia Hulburt;Mateus;1,072.00
Nov-11-2022;Indonesia;Pergan;101377416-7;Wendie Nafzger;Mateus;4,292.00
Jun-13-2021;Brazil;Porto Alegre;101593531-1;Mose Sawyers;Mateus;3,567.00
Nov-2-2022;Portugal;Fenais da Ajuda;102984313-9;Cordey Andrews;Mateus;5,605.00
Sep-9-2022;Brazil;Miguel Pereira;103555590-5;Farleigh MacMarcuis;Mateus;10,636.00
Feb-22-2022;Brazil;Porto Alegre;103555949-8;Raine Bellringer;Mateus;3,334.00
May-30-2021;Russia;Znamenskoye;103758673-5;Ardyce Conniam;Mateus;11,945.00
Dec-23-2021;Ukraine;Novhorodka;104344316-9;Tadeo Renol;Mateus;6,872.00
Jun-30-2021;Australia;Perth;104557642-5;Patience Ogles;Mateus;11,260.00
May-15-2022;Colombia;Chiriguan�;104564771-3;Robby Gronous;Mateus;614.00,
May-30-2021;Colombia;La Tebaida;105436236-1;Kelsi MacAlpin;Mateus;15,822.00
Mar-7-2023;Russia;Semënovskoy;105602494-1;Jackie Thompson;Mateus;9,218.00
May-30-2021;Indonesia;Banjar Ponggang;105648911-1;Clea Rodda;Mateus;16,511.00
May-30-2021;Philippines;Banisilan;106048108-1;Evvy Gouly;Mateus;17,962.00
Dec-30-2022;Brazil;Goiana;106678437-1;Aurie McElrath;Mateus;1,091.00
May-30-2021;Lithuania;Viekšnia;106810587-9;Morie Manuel;Mateus;14,884.00
May-30-2021;United States;San Antonio;107338923-5;Dot Ferney;Mateus;19,827.00
Dec-1-2021;Portugal;Rio Covo;107848765-0;Silvana Georgeson;Mateus;1,918.00
May-30-2021;Brazil;São Paul;108179154-3;Fransisco Bett;Mateus;6,383.00
Aug-14-2021;Colombia;Guapi;109398865-7;Luelle Vallentin;Mateus;6,354.00
May-30-2021;Brazil;Espumoso;109689624-9;Jamil Fried;Cristiano;16,735.00
May-30-2021;Portugal;Silveiros;110017420-6;Bernard Aspinell;Cristiano;15,644.00
May-30-2021;Argentina;Ushuaia;110092080-3;Benson Verchambre;Cristiano;19,055.00
Jul-7-2021;Portugal;Agrela;110492661-1;Baryram Fatharly;Cristiano;9,398.00
May-30-2021;Indonesia;Tanamiting;110773874-1;Nanci Ketton;Cristiano;2,360.00
May-30-2021;Brazil;Indaial;111068456-8;Cairistiona Fallanche;Cristiano;8,943.00
May-30-2021;Brazil;Embu Guaç;111258685-7;Jeremie Pavlovsky;Cristiano;11,589.00
May-30-2021;Brazil;São Paul;111395622-4;Berny Alexis;Cristiano;10,026.00
Apr-1-2023;Poland;Jeżów Sudec;112289348-5;Emlynne Grievson;Cristiano;2,129.00
May-30-2021;Brazil;Paiçand;112835652-1;Norri Rulf;Cristiano;10,370.00
May-11-2023;Portugal;Ulme;113208833-1;Benedetto Blanket;Cristiano;6,441.00
May-30-2021;Indonesia;Kediri;113824650-6;Devina Bromley;Cristiano;13,415.00
Aug-8-2021;Portugal;Reinaldes;113930714-2;Shepherd Pounder;Cristiano;9,816.00
Jan-15-2023;Brazil;Porto Alegre;114737519-4;Nesta Croker;Cristiano;3,379.00
May-30-2021;France;Strasbourg;114832635-9;Zebedee Mattioni;Cristiano;13,346.00
Feb-13-2022;Brazil;Itapemirim;115776007-4;Henryetta Caldecot;Cristiano;5,742.00
May-30-2021;Mexico;El Porvenir;116485461-5;Eugenie Drever;Cristiano;3,574.00
Apr-30-2022;Portugal;Arroteia;116527204-0;Harlie Nanuccioi;Cristiano;6,514.00
May-30-2021;Indonesia;Botoh;116652094-3;Kitti Richardon;Cristiano;15,681.00
May-30-2021;Portugal;Cruz de Pau;116817262-4;Denny Hawgood;Cristiano;11,489.00
May-30-2021;Argentina;Villa Castelli;117291145-2;Arielle Guarnier;Cristiano;19,398.00
May-30-2021;Lithuania;Mastaiciai;117869616-2;Tate Treneman;Cristiano;13,127.00
May-30-2021;France;Melun;118210306-5;Pandora Woloschin;Cristiano;12,351.00
May-30-2021;Russia;Krasnokholm;119762132-6;Jordan Bodill;Cristiano;15,421.00
May-30-2021;Indonesia;Wringinputih;120271022-0;Saundra Sprake;Cristiano;16,524.00
Jul-3-2021;Brazil;SP;121198102-9;Candace Cammell;Cristiano;2,887.00
May-30-2021;Portugal;Viana do Alentejo;121639758-9;Jeramey Shambroke;Cristiano;11,432.00
Aug-23-2022;Brazil;Palhoç;121966323-9;Witty Zealander;Cristiano;7,381.00
Jan-29-2023;Japan;Okegawa;122165718-6;Pam Setford;Cristiano;1,418.00
Dec-8-2021;Brazil;Campos Sales;122408755-0;Nicolette Spaice;Cristiano;3,399.00
Oct-26-2022;Brazil;Sapucaia;122454950-3;Aileen Lovejoy;Cristiano;1,544.00
May-30-2021;Brazil;Curitiba;123197482-6;Lynnea Carmel;Cristiano;15,166.00
Jan-21-2023;Brazil;Freguesia do Ribeirao da Ilha;123778973-7;Lucias Barkly;Cristiano;6,158.00
May-30-2021;Tanzania;Izazi;123933328-5;Frasquito Brashier;Cristiano;18,752.00
May-30-2021;Indonesia;Mangseng;124025818-6;Renate Tollit;Cristiano;18,968.00
May-30-2021;Portugal;Praia da Vagueira;124340805-7;Martelle Simcock;Geise;17,301.00
May-30-2021;Indonesia;Parumaan;125524010-5;Glenine Empringham;Geise;13,234.00
May-30-2021;Argentina;Concepción del Urugua;126863820-1;Kathlin Saladine;Geise;8,686.00
May-30-2021;Syria;Tādi;127632262-3;Ilario Rubenchik;Geise;12,038.00
Aug-12-2022;Republic of the Congo;Sibiti;127753344-1;Tildie McGilben;Geise;6,886.00
May-30-2021;Netherlands;Almelo;127769652-7;Nelia Firby;Geise;14,432.00
May-30-2021;Croatia;Rude;127955921-7;Patrizio Eburah;Geise;19,079.00
May-30-2021;Portugal;Capela;128458368-6;Olva Melville;Geise;15,277.00
May-30-2021;Portugal;Pinheiral;129669934-1;Florina Ruppel;Geise;18,411.00
Oct-30-2022;Argentina;El Soberbio;129904035-7;Willi Wratten;Geise;508.00,
Jan-1-2023;Brazil;Curitiba;129955738-4;Ferguson Volet;Geise;8,189.00
Sep-2-2022;Colombia;Cácere;129980789-5;Christophe Morey;Geise;2,837.00
Apr-13-2023;Brazil;Rio de Janeiro;130124720-0;Fraze Hyman;Geise;9,523.00
May-30-2021;Brazil;Pires do Rio;130419907-1;Adriena Greschke;Geise;17,253.00
May-30-2021;Sweden;Bålst;130633863-8;Sam Kmieciak;Geise;17,016.00
Aug-15-2021;Portugal;Meruge;130885190-1;Dionisio Rafter;Geise;8,285.00
Jan-2-2022;Nigeria;Rabah;131268290-6;Eleanor Vanns;Geise;4,998.00
May-30-2021;France;Saint-Quentin;131658542-5;Nariko Trubshawe;Geise;6,017.00
Nov-27-2021;Brazil;Maracaçum;131704579-3;Brande Atkyns;Geise;10,819.00
May-30-2021;Armenia;Gagarin;131942919-1;Irvin McClean;Geise;4,172.00
Dec-15-2022;United States;El Paso;132805113-7;Elisha Fidock;Geise;9,926.00
May-30-2021;Chile;Machal�;133963233-0;Kendrick MacAindreis;Geise;18,913.00
Oct-26-2021;Brazil;São Paul;134418615-7;Witty Antuoni;Geise;4,816.00
May-30-2021;Argentina;Jesús Mar�;134797864-1;Dasie Kitching;Geise;14,986.00
May-30-2021;Colombia;Juní;134827885-4;Berny Berry;Geise;19,489.00
May-30-2021;South Africa;Ceres;136590209-9;Chryste Longwood;Geise;19,859.00
Oct-24-2021;Russia;Tsimlyansk;137209847-1;Lennie Baumer;Geise;11,456.00
May-30-2021;Brazil;Wenceslau Braz;137891247-0;Diane Makepeace;Geise;19,352.00
May-30-2021;Indonesia;Bulakbanjar;142935382-1;Issy Rama;Geise;1,860.00
May-30-2021;Portugal;Venda;143040026-9;Pennie Evans;Geise;19,961.00
May-30-2021;Armenia;Gavarr;143595457-2;Irma Damiata;Geise;7,729.00
May-30-2021;Colombia;Villanueva;143725819-0;Tarrah Bulfit;Geise;8,725.00
May-30-2021;Indonesia;Gunungmanik;144787760-8;Donnie Hubach;Geise;12,545.00
May-30-2021;Poland;Sycó;145475711-6;Katlin Macvain;Geise;4,797.00
May-30-2021;Brazil;Camaçar;145697365-7;Lelia Hudspith;Geise;14,943.00
Mar-1-2022;Portugal;Carcavelos;147575040-4;Paul Bitterton;Geise;7,747.00
May-30-2021;Portugal;São Paio de Gramaç;147882721-1;Meredith Doust;Geise;17,384.00
Mar-6-2023;United States;Omaha;147997320-3;Whit Urian;Geise;9,712.00
May-30-2021;Brazil;Alegrete;148226812-4;Samantha Toth;Geise;17,346.00
Sep-29-2022;Russia;Shelopugino;148308747-6;Moina Barday;Geise;1,770.00
May-30-2021;Brazil;;148551745-1;Missy Sarginson;Geise;16,729.00
Jul-6-2021;Brazil;Jardim do Serid�;148616910-4;Haily Rysdale;Geise;9,400.00
Feb-11-2022;Colombia;Puerto Nariñ;149250511-0;Patrizio Ferriby;Geise;6,039.00
May-30-2021;Brazil;RJ;149886560-7;Jaimie Coils;Geise;15,485.00
May-30-2021;Colombia;Matanza;150088402-2;Rhea MacPherson;Geise;9,397.00
May-30-2021;Czech Republic;Libouchec;150194024-4;Dunn Conkie;Geise;18,870.00
May-30-2021;Poland;Zroda Wielkopolska;150564823-8;Isak Braid;Geise;13,593.00
May-30-2021;Portugal;Aldeia;150575837-8;Chilton Mudge;Geise;18,095.00
May-30-2021;Colombia;Florencia;151910251-8;Emeline Boome;Geise;9,956.00
Jan-3-2022;Angola;Luena;151935463-0;Correy Welfare;Geise;1,646.00
May-30-2021;Brazil;Novo Horizonte;152060611-7;Oriana Dalton;Geise;14,082.00
Dec-22-2021;Colombia;Margarita;152764189-9;Laurette Bon;Geise;5,122.00
Apr-24-2022;Brazil;Alagoa Grande;152828686-3;Tiena O'Halleghane;Geise;5,398.00
